current_time,request_id,agent_type,speak_duration,asr_duration,tts_req_duration,total_duration,llm_generation_time,speech_generation_time,llm_client_name
1724179030,613177,Agent1,3.003845,0.07637787,1.346355,1.43755,359.073,970.085,llamafile_llama3
1724179204,942204,Agent1,1.409456,0.07940388,1.563917,1.659105,290.41,1260.753,llamafile_llama3
1724179524,186878,Agent1,1.010083,0.14782,0.9564476,1.117386,279.282,670.916,llamafile_llama3
1724179536,284896,Agent1,0.6224384,0.1432343,1.429499,1.58436,579.967,836.597,llamafile_llama3
1724179619,718797,Agent1,9.760085,0.09452057,1.032587,1.14027,248.032,777.565,llamafile_llama3
1724179636,646270,Agent1,5.330416,0.07350159,1.076038,1.161781,386.464,681.022,llamafile_llama3
1724179660,328822,Agent1,1.065701,0.1533928,1.024872,1.190044,334.827,684.321,llamafile_llama3
1724179766,444132,Agent1,2.151403,0.08887672,0.9503965,1.054123,289.673,645.68,llamafile_llama3
1724179782,5989,Agent1,1.101051,0.1509571,1.114578,1.277655,362.157,736.576,llamafile_llama3
1724179809,787790,Agent2,1.251789,0.08081818,1.603504,1.700699,403.173,1190.76,llamafile_llama3
1724179827,483549,Agent2,2.79892,0.08061218,1.679703,1.77552,511.815,1160.879,llamafile_llama3
1724179900,886254,Agent1,1.238636,0.08466339,1.044394,1.143077,336.063,702.82,llamafile_llama3
1724179917,984557,Agent1,1.125952,0.1496868,0.9609184,1.122339,315.184,632.288,llamafile_llama3
1724179927,190999,Agent1,0.7040062,0.1432838,0.9865417,1.141521,336.697,642.378,llamafile_llama3
1724180204,320029,Agent1,1.225742,0.08581829,1.098369,1.196934,342.673,748.91,llamafile_llama3
1724180217,975024,Agent1,1.905111,0.06023407,1.83835,1.909662,505.32,1323.238,llamafile_llama3
1724180234,225453,Agent1,0.7955971,0.1358681,1.398468,1.546555,608.563,782.056,llamafile_llama3
1724180254,558242,Agent1,0.8890381,0.1499672,1.932335,2.095428,1034.464,889.203,llamafile_llama3
1724180297,837808,Agent2,0.9571686,0.1549149,1.454758,1.623009,394.08,1047.416,llamafile_llama3
1724180327,763285,Agent2,0.717804,0.1433105,1.361816,1.524384,375.136,977.217,llamafile_llama3
1724180343,1715,Agent2,0.77034,0.1400604,1.519394,1.67836,386.789,1120.003,llamafile_llama3
1724180412,197907,Agent3,1.157433,0.1835957,0.9831285,1.186267,324.313,650.445,llamafile_llama3
1724180424,198630,Agent3,1.431318,0.06879616,1.09108,1.180883,413.857,668.443,llamafile_llama3
1724180527,433825,Agent2,1.519263,0.08614445,1.44793,1.557041,433.471,992.525,llamafile_llama3
